enqueue_latency_ns,dequeue_latency_ns
77375,3069.8
199.987,669.956
49.9967,389.975
49.9967,259.983
39.9974,129.992
169.989,129.992
39.9974,279.982
49.9967,99.9935
39.9974,109.993
49.9967,89.9941
49.9967,219.986
39.9974,89.9941
49.9967,89.9941
39.9974,99.9935
49.9967,89.9941
39.9974,489.968
39.9974,89.9941
49.9967,99.9935
39.9974,89.9941
49.9967,89.9941
49.9967,89.9941
49.9967,479.969
49.9967,99.9935
49.9967,89.9941
39.9974,89.9941
39.9974,499.967
39.9974,89.9941
49.9967,89.9941
39.9974,89.9941
49.9967,239.984
39.9974,89.9941
169.989,759.951
639.958,399.974
199.987,99.9935
169.989,99.9935
179.988,89.9941
169.989,289.981
419.973,229.985
439.971,99.9935
409.973,209.986
169.989,99.9935
419.973,209.986
609.96,599.961
469.969,209.986
459.97,199.987
409.973,29.998
479.969,389.975
409.973,69.9954
409.973,39.9974
409.973,39.9974
319.979,29.998
409.973,29.998
419.973,29.998
439.971,29.998
189.988,29.998
459.97,19.9987
169.989,159.99
419.973,29.998
169.989,379.975
409.973,29.998
319.979,29.998
169.989,29.998
169.989,29.998
169.989,39.9974
759.951,199.987
49.9967,29.998
49.9967,359.977
49.9967,29.998
49.9967,49.9967
49.9967,29.998
39.9974,29.998
39.9974,29.998
49.9967,29.998
49.9967,29.998
39.9974,29.998
39.9974,39.9974
39.9974,29.998
49.9967,169.989
49.9967,39.9974
39.9974,379.975
39.9974,29.998
39.9974,49.9967
49.9967,29.998
49.9967,29.998
49.9967,149.99
39.9974,29.998
49.9967,359.977
39.9974,29.998
39.9974,29.998
39.9974,29.998
49.9967,29.998
39.9974,29.998
39.9974,149.99
39.9974,29.998
49.9967,369.976
49.9967,879.943
489.968,259.983
49.9967,399.974
39.9974,49.9967
49.9967,49.9967
39.9974,39.9974
39.9974,169.989
49.9967,39.9974
49.9967,849.945
49.9967,989.936
49.9967,629.959
49.9967,679.956
39.9974,269.982
49.9967,379.975
259.983,89.9941
39.9974,109.993
49.9967,89.9941
199.987,169.989
49.9967,519.966
49.9967,1069.93
49.9967,689.955
49.9967,679.956
159.99,439.971
329.979,389.975
39.9974,389.975
189.988,279.982
39.9974,389.975
49.9967,669.956
39.9974,459.97
49.9967,759.951
39.9974,139.991
49.9967,249.984
49.9967,469.969
489.968,269.982
49.9967,479.969
39.9974,259.983
49.9967,379.975
49.9967,359.977
49.9967,349.977
39.9974,359.977
49.9967,559.964
39.9974,249.984
39.9974,379.975
39.9974,489.968
49.9967,419.973
39.9974,249.984
39.9974,349.977
189.988,519.966
179.988,669.956
49.9967,249.984
49.9967,269.982
49.9967,259.983
39.9974,479.969
39.9974,119.992
49.9967,229.985
49.9967,359.977
49.9967,229.985
49.9967,369.976
49.9967,489.968
49.9967,269.982
139.991,119.992
49.9967,229.985
49.9967,459.97
39.9974,249.984
49.9967,439.971
339.978,349.977
149.99,239.984
49.9967,369.976
169.989,519.966
39.9974,479.969
149.99,479.969
39.9974,379.975
59.9961,229.985
49.9967,349.977
39.9974,459.97
49.9967,239.984
39.9974,369.976
49.9967,469.969
49.9967,379.975
49.9967,359.977
49.9967,259.983
49.9967,459.97
49.9967,399.974
49.9967,319.979
49.9967,339.978
39.9974,259.983
49.9967,229.985
49.9967,399.974
39.9974,379.975
49.9967,369.976
39.9974,499.967
459.97,389.975
159.99,349.977
319.979,489.968
159.99,469.969
49.9967,389.975
49.9967,509.967
1259.92,259.983
149.99,479.969
49.9967,139.991
49.9967,549.964
49.9967,239.984
179.988,359.977
309.98,519.966
349.977,639.958
39.9974,589.962
149.99,739.952
39.9974,709.954
709.954,589.962
299.98,869.943
39.9974,779.949
49.9967,449.971
49.9967,359.977
169.989,359.977
159.99,709.954
39.9974,619.96
169.989,559.964
169.989,499.967
159.99,1469.9
39.9974,489.968
49.9967,649.958
49.9967,799.948
199.987,569.963
169.989,489.968
49.9967,609.96
49.9967,609.96
159.99,829.946
49.9967,469.969
559.964,489.968
1739.89,599.961
169.989,589.962
179.988,759.951
189.988,469.969
189.988,529.966
249.984,339.978
149.99,389.975
409.973,699.954
389.975,609.96
39.9974,569.963
39.9974,459.97
409.973,549.964
269.982,469.969
39.9974,529.966
299.98,549.964
49.9967,619.96
249.984,779.949
39.9974,839.945
259.983,609.96
279.982,679.956
149.99,609.96
159.99,929.94
49.9967,699.954
49.9967,439.971
39.9974,669.956
399.974,619.96
169.989,859.944
49.9967,1169.92
159.99,1029.93
39.9974,819.947
49.9967,689.955
279.982,939.939
889.942,739.952
329.979,689.955
279.982,1249.92
49.9967,799.948
179.988,939.939
329.979,949.938
159.99,369.976
39.9974,649.958
49.9967,749.951
49.9967,839.945
279.982,809.947
609.96,409.973
169.989,1079.93
39.9974,899.941
459.97,859.944
169.989,679.956
169.989,539.965
49.9967,509.967
189.988,579.962
339.978,719.953
39.9974,619.96
159.99,569.963
169.989,709.954
169.989,749.951
269.982,1079.93
379.975,549.964
39.9974,139.991
39.9974,619.96
609.96,899.941
429.972,849.945
39.9974,829.946
39.9974,559.964
1119.93,759.951
219.986,669.956
529.966,829.946
159.99,679.956
159.99,869.943
319.979,679.956
319.979,709.954
159.99,1089.93
169.989,739.952
319.979,919.94
39.9974,1239.92
239.984,1099.93
39.9974,1099.93
159.99,999.935
299.98,369.976
549.964,709.954
409.973,699.954
439.971,529.966
269.982,1059.93
169.989,609.96
309.98,819.947
299.98,939.939
459.97,849.945
39.9974,649.958
169.989,679.956
49.9967,1249.92
169.989,379.975
39.9974,819.947
49.9967,979.936
469.969,1369.91
149.99,629.959
219.986,669.956
969.937,1409.91
179.988,1489.9
229.985,729.953
299.98,1049.93
299.98,639.958
159.99,239.984
229.985,869.943
189.988,859.944
419.973,879.943
289.981,1169.92
49.9967,1069.93
49.9967,1389.91
39.9974,709.954
519.966,539.965
259.983,649.958
379.975,869.943
39.9974,869.943
309.98,809.947
169.989,619.96
39.9974,609.96
159.99,739.952
39.9974,1099.93
339.978,1119.93
259.983,1159.92
289.981,819.947
509.967,1269.92
169.989,579.962
189.988,1369.91
189.988,1459.91
339.978,819.947
339.978,1419.91
169.989,689.955
1589.9,519.966
149.99,839.945
569.963,839.945
169.989,1309.91
49.9967,689.955
439.971,699.954
289.981,869.943
49.9967,869.943
499.967,689.955
159.99,1209.92
189.988,1379.91
39.9974,1589.9
49.9967,529.966
589.962,419.973
329.979,629.959
379.975,1129.93
159.99,1089.93
49.9967,679.956
289.981,859.944
489.968,1089.93
169.989,619.96
39.9974,619.96
39.9974,569.963
49.9967,1249.92
39.9974,709.954
49.9967,479.969
479.969,569.963
169.989,999.935
49.9967,839.945
169.989,949.938
329.979,649.958
169.989,729.953
789.949,1159.92
369.976,679.956
879.943,639.958
159.99,719.953
49.9967,609.96
159.99,679.956
39.9974,699.954
39.9974,599.961
529.966,639.958
379.975,649.958
709.954,479.969
159.99,409.973
149.99,999.935
49.9967,1319.91
389.975,839.945
439.971,609.96
429.972,1319.91
159.99,639.958
49.9967,1029.93
169.989,709.954
189.988,779.949
439.971,519.966
289.981,599.961
39.9974,1019.93
49.9967,989.936
359.977,1359.91
429.972,979.936
309.98,609.96
339.978,959.938
309.98,1059.93
49.9967,579.962
49.9967,799.948
669.956,869.943
279.982,1029.93
49.9967,1029.93
49.9967,989.936
49.9967,509.967
49.9967,669.956
49.9967,829.946
169.989,609.96
49.9967,859.944
169.989,729.953
49.9967,739.952
49.9967,829.946
49.9967,499.967
159.99,599.961
289.981,549.964
49.9967,659.957
219.986,899.941
509.967,899.941
169.989,759.951
49.9967,839.945
49.9967,789.949
469.969,1029.93
229.985,1199.92
419.973,619.96
289.981,679.956
529.966,1109.93
319.979,929.94
189.988,809.947
49.9967,839.945
49.9967,1339.91
179.988,1309.91
309.98,969.937
1269.92,579.962
329.979,929.94
179.988,519.966
49.9967,789.949
159.99,709.954
49.9967,539.965
319.979,799.948
159.99,999.935
49.9967,1189.92
169.989,749.951
49.9967,919.94
49.9967,499.967
159.99,1109.93
149.99,809.947
159.99,829.946
529.966,1359.91
389.975,1489.9
159.99,929.94
729.953,889.942
409.973,899.941
409.973,749.951
149.99,729.953
549.964,409.973
279.982,169.989
49.9967,399.974
39.9974,709.954
289.981,1099.93
169.989,1179.92
49.9967,729.953
