cycle,exp_prices,exp_qtities,cycle2,acc_prices,acc_qtities
0,,,0,,
1,,,1,,
2,,,2,,
3,,,3,,
4,,,4,,
5,,,5,,
6,,,6,,
7,,,7,,
8,,,8,,
9,,,9,,
10,97.09|101.97,3|1,10,97.09|101.97,3|1
11,,,11,,
12,87.22,6,12,87.22,6
13,,,13,,
14,,,14,,
15,,,15,,
16,87.22|100.41,4|24,16,87.22|100.41,4|24
17,,,17,,
18,86.45|100.41,8|52,18,86.45|100.41,8|52
19,,,19,,
20,91.09,4,20,91.09,4
21,,,21,,
22,,,22,,
23,,,23,,
24,,,24,,
25,,,25,,
26,91.09,7,26,91.09,7
27,,,27,,
28,91.09,7,28,91.09,7
29,91.09|92.57,2|7,29,91.09|92.57,2|7
30,92.57,7,30,92.57,7
31,92.57,57,31,92.57,57
32,92.57,7,32,92.57,7
33,,,33,,
34,92.57|95.46|95.85|100.41|100.68,1|63|4|11|2,34,92.57|95.46|95.85|100.41|100.68,1|63|4|11|2
35,,,35,,
36,,,36,,
37,101.97,10,37,101.97,10
38,,,38,,
39,100.27|101.97,1|76,39,100.27|101.97,1|76
40,,,40,,
41,,,41,,
42,,,42,,
43,101.97|103.71|104.79,5|4|1,43,101.97|103.71|104.79,5|4|1
44,,,44,,
45,,,45,,
46,103.31|104.79,9|1,46,103.31|104.79,9|1
47,,,47,,
48,,,48,,
49,,,49,,
50,,,50,,
51,,,51,,
52,91.06,2,52,91.06,2
53,,,53,,
54,,,54,,
55,91.06|93.5|104.29|104.79,68|6|9|6,55,91.06|93.5|104.29|104.79,68|6|9|6
56,,,56,,
57,,,57,,
58,99.99,8,58,99.99,8
59,104.79|104.84,19|19,59,104.79|104.84,19|19
60,,,60,,
61,,,61,,
62,,,62,,
63,,,63,,
64,,,64,,
65,,,65,,
66,,,66,,
67,,,67,,
68,88.51|94.62,4|10,68,88.51|94.62,4|10
69,,,69,,
70,,,70,,
71,,,71,,
72,84.49|85.32,4|1,72,84.49|85.32,4|1
73,85.32,4,73,85.32,4
74,100.87,2,74,100.87,2
75,,,75,,
76,,,76,,
77,,,77,,
78,,,78,,
79,89.21|97.45,2|6,79,89.21|97.45,2|6
80,,,80,,
81,,,81,,
82,,,82,,
83,90.3,10,83,90.3,10
84,,,84,,
85,90.3,5,85,90.3,5
86,,,86,,
87,,,87,,
88,81.17,10,88,81.17,10
89,,,89,,
90,81.17|90.3,27|45,90,81.17|90.3,27|45
91,,,91,,
92,87.56,2,92,87.56,2
93,87.56,10,93,87.56,10
94,,,94,,
95,87.56,8,95,87.56,8
96,,,96,,
97,,,97,,
98,,,98,,
99,,,99,,
100,87.56,16,100,87.56,16
101,,,101,,
102,,,102,,
103,87.56,3,103,87.56,3
104,87.56|90.3,37|29,104,87.56|90.3,37|29
105,,,105,,
106,90.3|90.44,8|46,106,90.3|90.44,8|46
107,,,107,,
108,84.99,77,108,84.99,77
109,,,109,,
110,,,110,,
111,84.99,7,111,84.99,7
112,,,112,,
113,,,113,,
114,84.99|90.44,8|1,114,84.99|90.44,8|1
115,,,115,,
116,90.44,7,116,90.44,7
117,90.44|92.21|92.65,45|5|15,117,90.44|92.21|92.65,45|5|15
118,,,118,,
119,,,119,,
120,93.1,2,120,93.1,2
121,93.1|93.49|94.29,4|7|6,121,93.1|93.49|94.29,4|7|6
122,94.29,10,122,94.29,10
123,,,123,,
124,,,124,,
125,,,125,,
126,,,126,,
127,,,127,,
128,86.38|94.29,6|1,128,86.38|94.29,6|1
129,94.29,11,129,94.29,11
130,,,130,,
131,,,131,,
132,94.29,4,132,94.29,4
133,94.29,8,133,94.29,8
134,,,134,,
135,91.11,7,135,91.11,7
136,,,136,,
137,,,137,,
138,,,138,,
139,91.11,5,139,91.11,5
140,,,140,,
141,91.11,2,141,91.11,2
142,,,142,,
143,,,143,,
144,,,144,,
145,91.11,7,145,91.11,7
146,,,146,,
147,,,147,,
148,91.11,24,148,91.11,24
149,91.11,20,149,91.11,20
150,91.11,2,150,91.11,2
151,,,151,,
152,91.11|93.99,23|3,152,91.11|93.99,23|3
153,,,153,,
154,,,154,,
155,,,155,,
156,,,156,,
157,93.99|94.29,6|30,157,93.99|94.29,6|30
158,94.29,9,158,94.29,9
159,,,159,,
160,,,160,,
161,89.13,30,161,89.13,30
162,,,162,,
163,,,163,,
164,89.13,9,164,89.13,9
165,89.13,10,165,89.13,10
166,,,166,,
167,89.13,5,167,89.13,5
168,,,168,,
169,,,169,,
170,,,170,,
171,89.13|92.15|94.29|95.07,3|2|14|59,171,89.13|92.15|94.29|95.07,3|2|14|59
172,,,172,,
173,,,173,,
174,,,174,,
175,,,175,,
176,89.98|95.07|95.92,5|16|64,176,89.98|95.07|95.92,5|16|64
177,,,177,,
178,,,178,,
179,,,179,,
180,,,180,,
181,,,181,,
182,,,182,,
183,,,183,,
184,79.26|95.92|96.05,1|2|29,184,79.26|95.92|96.05,1|2|29
185,96.05|96.12,8|14,185,96.05|96.12,8|14
186,,,186,,
187,,,187,,
188,,,188,,
189,,,189,,
190,,,190,,
191,,,191,,
192,,,192,,
193,,,193,,
194,,,194,,
195,96.12,9,195,96.12,9
196,,,196,,
197,,,197,,
198,96.12,10,198,96.12,10
199,96.12|96.25,2|3,199,96.12|96.25,2|3
200,,,200,,
201,,,201,,
202,,,202,,
203,87.87,8,203,87.87,8
204,,,204,,
205,,,205,,
206,,,206,,
207,,,207,,
208,87.87|87.98|89.38,55|2|5,208,87.87|87.98|89.38,55|2|5
209,89.38,4,209,89.38,4
210,89.38,2,210,89.38,2
211,89.38|94.76,57|40,211,89.38|94.76,57|40
212,,,212,,
213,,,213,94.76|96.42|96.94,31|7|51
214,94.76|96.42|96.94,31|7|51,214,,
215,,,215,90.71,1
216,90.71,1,216,,
217,,,217,,
218,,,218,,
219,,,219,90.71,1
220,90.71,1,220,,
221,,,221,,
222,,,222,,
223,,,223,83.19|90.71,49|4
224,83.19|90.71,49|4,224,96.94|97.15,22|51
225,96.94|97.15,22|51,225,97.15|97.25,18|3
226,97.15|97.25,18|3,226,97.25|97.72|98.52,2|1|7
227,97.25|97.72|98.52,2|1|7,227,,
228,,,228,98.52,8
229,98.52,8,229,,
230,,,230,,
231,,,231,,
232,,,232,,
233,,,233,,
234,,,234,,
235,,,235,91.38|91.73|98.52|98.56|98.77,2|1|40|1|26
236,91.38|91.73|98.52|98.56|98.77,2|1|40|1|26,236,,
237,,,237,,
238,,,238,,
239,98.77,6,239,98.77,6
240,,,240,,
241,98.77,6,241,98.77,6
242,,,242,,
243,98.77,8,243,98.77,8
244,,,244,,
245,98.77|98.77|99.28,12|46|11,245,98.77|98.77|99.28,12|46|11
246,,,246,,
247,,,247,,
248,,,248,,
249,93.38|99.28|99.45|99.58,1|24|6|6,249,93.38|99.28|99.45|99.58,1|24|6|6
250,,,250,,
251,,,251,99.58|99.69|99.76,75|5|19
252,99.58|99.69|99.76,75|5|19,252,,
253,,,253,,
254,99.76,9,254,99.76,9
255,,,255,,
256,,,256,,
257,,,257,,
258,,,258,,
259,,,259,,
260,,,260,,
261,99.76,4,261,99.76,4
262,,,262,,
263,99.76,8,263,99.76,8
264,,,264,,
265,99.76,8,265,99.76,8
266,,,266,,
267,,,267,,
268,,,268,,
269,,,269,,
270,,,270,,
271,99.09|99.76,2|6,271,99.09|99.76,2|6
272,,,272,,
273,99.76|100.11|100.87,43|2|4,273,99.76|100.11|100.87,43|2|4
274,,,274,,
275,100.87|100.9|101.27,1|1|3,275,100.87|100.9|101.27,1|1|3
276,,,276,,
277,,,277,,
278,90.73|95.49,2|3,278,90.73|95.49,2|3
279,101.27,3,279,101.27,3
280,,,280,,
281,95.18,3,281,95.18,3
282,,,282,,
283,,,283,,
284,85.08,6,284,85.08,6
285,,,285,,
286,,,286,,
287,,,287,75.77|85.08,6|3
288,75.77|85.08,6|3,288,,
289,,,289,,
290,85.08,1,290,85.08,1
291,,,291,,
292,,,292,,
293,,,293,,
294,,,294,,
295,80.89,5,295,80.89,5
296,,,296,,
297,80.89,3,297,80.89,3
298,,,298,,
299,,,299,,
300,80.89,36,300,80.89,36
301,,,301,,
302,80.89,1,302,80.89,1
303,80.89,20,303,80.89,20
304,90.65,10,304,90.65,10
305,,,305,,
306,90.65,5,306,90.65,5
307,,,307,,
308,90.65,16,308,90.65,16
309,,,309,,
310,88.04,5,310,88.04,5
311,88.04|95.18,26|46,311,88.04|95.18,26|46
312,,,312,,
313,,,313,,
314,,,314,,
315,,,315,,
316,,,316,,
317,,,317,,
318,,,318,,
319,,,319,88.91,2
